Idx_Sample;Mixture Code in Ref;FA (kg/m3);GGBFS (kg/m3);Total powder (kg/m3);Coarse aggregate (kg/m3);Fine aggregate (kg/m3);Total aggregates (kg);NaOH (kg);water-eff (kg);Weight mixture (kg);Initial curing temp (C);CO2 emissions (kg/m3) - a-priori;f,c(28d) (MPa) - MD1 Target
1399;FA-70 GGBS- 30 B-360 AGG/B-5.18 ALK/B-0.45 T ºC - 25;252;108;360;1090,8;774;1864,8;46,28571429;107,8071429;2409,838571;25;129,6913657;
1400;FA-70 GGBS- 30 B-360 AGG/B-5.18 ALK/B-0.50 T ºC - 25;252;108;360;1090,8;774;1864,8;51,42857143;118,8257143;2427,842857;25;139,3683886;36,1631
1401;FA-70 GGBS- 30 B-360 AGG/B-5.18 ALK/B-0.55 T ºC - 25;252;108;360;1090,8;774;1864,8;56,57142857;129,8442857;2445,837143;25;149,0331914;
1402;FA-70 GGBS- 30 B-360 AGG/B-5.18 ALK/B-0.60 T ºC - 25;252;108;360;1090,8;774;1864,8;61,71428571;140,8628571;2463,841429;25;158,7102143;
1403;FA-70 GGBS- 30 B-420 AGG/B-4.23 ALK/B-0.45 T ºC - 25;294;126;420;966;810,6;1776,6;54;125,775;2412,485;25;149,39954;
1404;FA-70 GGBS- 30 B-420 AGG/B-4.23 ALK/B-0.50 T ºC - 25;294;126;420;966;810,6;1776,6;60;138,63;2433,48;25;160,67718;
1405;FA-70 GGBS- 30 B-420 AGG/B-4.23 ALK/B-0.55 T ºC - 25;294;126;420;966;810,6;1776,6;66;151,485;2454,485;25;171,96704;
1406;FA-70 GGBS- 30 B-420 AGG/B-4.23 ALK/B-0.60 T ºC - 25;294;126;420;966;810,6;1776,6;72;164,34;2475,48;25;183,24468;
1407;FA-70 GGBS- 30 B-450 AGG/B-3.85 ALK/B-0.45 T ºC - 25;315;135;450;972;760,5;1732,5;57,85714286;134,7589286;2413,793214;25;159,2352971;33,8562
1408;FA-70 GGBS- 30 B-450 AGG/B-3.85 ALK/B-0.50 T ºC - 25;315;135;450;972;760,5;1732,5;64,28571429;148,5321429;2436,293571;25;171,3254657;
